name,department,info,cause,symptom
간염,소화기내과,간염은 간세포 조직에 염증이 생긴 것을 의미합니다.,간염은 바이러스` 약물` 알코올` 화학 약물` 독초 등으로 인하여 발병합니다. 바이러스성 간염은 원인 병원체에 따라 A형` B형` C형` D형` E형` G형으로 구분됩니다. 드물기는 하지만 자가 면역성 간염이나 윌슨병 등도 간염의 원인이 될 수 있습니다. , 간염은 그 지속 기간에 따라서 급성(6개월 이내)과 만성(6개월 이상)으로 구분됩니다. 급성 간염의 경우 식욕 부진` 오심` 구토 등의 비특이적인 소화기 증상이 생길 수 있으며` 우상 복부 불편감을 느끼면 심한 무력감이 동반됩니다. 또한 미열이나 두통` 근육통` 관절통 등이 있을 수 있고` 눈의 흰자위가 보이고 피부가 노랗게 되고 소변 색이 진해지는 등 황달기가 있습니다. 심하면 피부에 가려움증이 생기기도 합니다. 간혹 급성 간부전으로 진행되면 복수가 차고 간성 뇌증이 동반되기도 합니다. 만성 간염은 급성 간염에 걸린 환자가 완전히 회복되지 않고 간내 염증이 지속되는 경우를 말합니다. 만성 간염은 무증상이 대부분이지만 피로감이나 무력감이 쉽게 동반될 수 있습니다.
간질성 폐질환,호흡기내과,미만성 간질성 폐질환(DILD)은 폐간질에 침범되는 비종양성` 비감염성 질환을 총칭합니다. 폐간질(interstitium)이란 폐포벽을 이루는 조직을 말합니다. 이것은 폐포상피세포` 내피세포` 기저막` 이를 둘러싸는 결체 조직` 모세혈관` 림프관을 모두 포함합니다. 대부분 간질만이 아니라 그 주위의 조직과 폐포 내에도 병변을 동반합니다.,미만성 간질성 폐질환은 진폐증 등과 같은 직업성 폐 질환` 환경적으로 접촉되는 여러 가지 유기물질에 대한 과민성 폐렴` 약제에 의한 폐 질환` 유전성 질환` 류마티스성 관절염이나 전신경화증 등과 같은 교원성 질환의 폐침윤` 방사선 폐렴` 최근 발생 빈도가 증가하는 유육종증 등 다양한 원인에 의해 발생합니다. ,미만성 간질성 폐질환의 주요 증상은 운동 시의 호흡 곤란과 마른 기침입니다. 흉부방사선학적으로 볼 때` 양측 폐에서 폐침윤이 광범위하게 관찰됩니다. 이 질환은 몇 개월 혹은 몇 년에 걸쳐 서서히 악화되지만` 갑자기 발생한 뒤 며칠 만에 악화되기도 합니다.
갑상샘과다증,가정의학과`내분비내과`내분비외과,우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.,갑상선기능항진증의 가장 흔한 원인은 자가면역 질환에 의한 것입니다. 자가면역 질환이란 외부에서 들어온 바이러스를 공격해야 하는 면역력이 자신의 몸을 외부 바이러스로 착각하고 공격하는 질환입니다.,갑상선 기능이 항진되면 여러 가지 증상이 나타납니다. 신체의 여러 장기가 항진되어 있기 때문에 가만히 있어도 뛰는 효과가 나타납니다. 심박동 수가 빨라지고` 혈압 이상` 숨찬 증상이 나타납니다. 신경질적이고 안절부절못하며 감정의 변화가 심해지는 정서 변화가 나타납니다. 불면증도 생길 수 있습니다. 식욕이 증가해도 체중이 감소하는 경우가 있고` 설사나 변비 같은 소화기 증상이 나타날 수 있습니다. 피부가 건조해지고 땀이 많아지고 머리가 많이 빠질 수 있습니다. 여성의 경우 월경의 양이 줄거나 없어질 수 있고` 남성의 경우 아주 드물지만 여성형 유방이 생길 수 있습니다. 외형적으로는 눈이 앞으로 튀어나오고 목 부위(갑상선 부위)가 커지는 증상이 생깁니다.
갑상선기능저하증,내분비내과,갑상선기능저하증은 우리 몸에 필요한 갑상선호르몬이 부족하여 나타나는 질환을 의미합니다.,갑상선기능저하증은 갑상선 자체에 문제가 생겨서 갑상선호르몬의 생산이 감소하거나` 뇌에 문제가 생겨 갑상선호르몬의 분비를 자극하는 갑상선자극호르몬(TSH)의 생산이 감소함으로써 갑상선호르몬을 충분히 만들지 못하여 나타납니다. 이는 갑상선 수술이나 방사성 요오드 치료를 받은 후 나타날 수 있습니다. 또한 하시모토 갑상선염이라고 불리는 자가면역질환` 선천적 갑상선 결함` 갑상선의 염증 질환이나 바이러스 감염 등으로 인해 유발될 수 있습니다. 뇌의 문제로 인해 발생하는 경우는 시상하부나 뇌하수체에 종양` 감염` 유육종증 또는 암 전이가 생겼을 때입니다.,갑상선호르몬은 열과 에너지를 생성하는 데 필수적입니다. 따라서 갑상선호르몬이 부족하면 온몸의 대사 기능이 저하됩니다. 추위를 잘 타고` 땀이 잘 나지 않고` 피부는 건조하고 창백하며 누렇게 됩니다. 쉽게 피로하고 의욕이 없으며 집중이 잘 되지 않고 기억력이 감퇴합니다. 또한 얼굴과 손발이 붓고` 식욕이 없어 잘 먹지 않는데도 몸이 붓고 체중이 증가합니다. 목소리가 쉬고 말이 느려집니다. 위장관 운동이 저하되어 먹은 것이 잘 내려가지 않으며` 심하면 변비가 생깁니다. 팔다리가 저리고 쑤시며 근육이 단단해지고 근육통이 생깁니다. 여성의 경우 흔히 월경량이 증가합니다. 갑상선기능저하증으로 나타나는 부종은 손가락으로 눌러도 들어가는 자리가 생기지 않는다는 특징이 있습니다. 이처럼 갑상선기능저하증의 증상은 매우 다양하며` 다른 질환에서 나타나는 증상과 유사한 경우가 많습니다. 또한 갑상선기능저하증은 대부분 오랜 시간에 걸쳐 매우 서서히 진행하기 때문에 어느 정도는 적응됩니다. 이에 자각 증상을 뚜렷이 느끼지 못하는 경우가 많습니다. 초기에는 자각 증상이 거의 없어서 단지 검사 결과로만 알 수 있는 경우도 있습니다.
갑상선기능항진증,가정의학과`내분비내과`내분비외과,우리 목 안에는 나비 모양의 갑상선이라는 기관이 있습니다. 갑상선에서는 갑상선호르몬을 배출하여 우리 몸의 여러 기능을 조절합니다. 갑상선기능항진증은 갑상선호르몬이 정상보다 많이 분비되어 몸의 에너지가 빨리 소모되고 많은 기능이 항진되는 질병을 말합니다.,갑상선기능항진증의 가장 흔한 원인은 자가면역 질환에 의한 것입니다. 자가면역 질환이란 외부에서 들어온 바이러스를 공격해야 하는 면역력이 자신의 몸을 외부 바이러스로 착각하고 공격하는 질환입니다.,갑상선 기능이 항진되면 여러 가지 증상이 나타납니다. 신체의 여러 장기가 항진되어 있기 때문에 가만히 있어도 뛰는 효과가 나타납니다. 심박동 수가 빨라지고` 혈압 이상` 숨찬 증상이 나타납니다. 신경질적이고 안절부절못하며 감정의 변화가 심해지는 정서 변화가 나타납니다. 불면증도 생길 수 있습니다. 식욕이 증가해도 체중이 감소하는 경우가 있고` 설사나 변비 같은 소화기 증상이 나타날 수 있습니다. 피부가 건조해지고 땀이 많아지고 머리가 많이 빠질 수 있습니다. 여성의 경우 월경의 양이 줄거나 없어질 수 있고` 남성의 경우 아주 드물지만 여성형 유방이 생길 수 있습니다. 외형적으로는 눈이 앞으로 튀어나오고 목 부위(갑상선 부위)가 커지는 증상이 생깁니다.
강직성 척추염,재활의학과`류마티스내과,강직성 척추염은 척추의 주 병변이 특징인 만성 관절염의 일종입니다. 강직성에서 ‘강직’은 ‘뻣뻣해짐’ 또는 ‘굳는 것’을 의미하고` 척추염은 말 그대로 ‘척추에 염증이 생기는 것’을 의미합니다. 척추 외에 엉덩이` 무릎` 어깨 등의 관절에도 염증을 일으킬 수 있습니다. 여기서 염증은 통증` 부종` 뻣뻣한 느낌` 빨갛게 붓는 증상이 나타나는 현상을 말합니다. 척추에 염증이 생기면 척추뼈들이 같이 굳거나 일체가 되어 자라기 때문에 등이 뻣뻣해지기도 합니다.강직성 척추염은 경미한 경우부터 매우 심한 경우까지 종류가 다양합니다. 초기에 진단하여 적절히 치료하면 통증이나 뻣뻣함을 조절할 수 있어서 심각한 변형의 발생을 줄이거나 예방할 수 있습니다.,아직 정확한 원인은 밝혀지지 않았지만` 유전적 연관이 있다고 알려져 있습니다. 강직성 척추염 환자에게서는 대부분 다른 사람에게는 잘 나타나지 않는 항원(HLA-B27)이 나타납니다. 이 유전적 인자를 가졌다고 해서 반드시 강직성 척추염이 발생하는 것은 아니지만` 그렇지 않은 사람들보다는 발생할 가능성이 큽니다.,개인에 따라 증상에 많은 차이가 있습니다.가장 흔한 초기 증상은 허리 통증으로` 거의 모든 환자에게 나타납니다. 오랜 기간 조금씩 아프기 시작합니다. 주로 잠을 자고 일어난 후에 허리가 뻣뻣하면서 통증이 느껴지고` 활동하다 보면 허리의 통증이 약해지거나 사라지는 특징을 보입니다.또한 엉덩이 관절` 어깨 관절 등이 붓거나 아프고` 발뒤꿈치` 갈비뼈 등에 통증이 발생하며 이 부위를 누르면 더 심해집니다. 눈의 염증이 나타날 수 있고` 드물게는 심장` 신장(콩팥)` 대장 등에 관련 증상이 나타날 수 있습니다.
결장암 / 직장암,소화기내과`종양내과`방사선종양학과`대장항문외과,결장암은 결장 내막에서 시작되는 암입니다.,대장암의 원인으로는 우선 전체 대장암의 약 10~30%를 차지하는 유전성 요인이 있습니다. 다음으로 우리가 스스로 조절하고 미리 원인을 피함으로써 예방할 수 있는 환경적인 요인이 있습니다. 먼저` 유전적 요인으로 발생하는 대장암에는 가족성 용종증과 유전성 비용종증 대장암이 있습니다. 가족성 용종증의 경우` 20~30대에게 잘 나타나며` 95%의 환자는 45세 이전에 발병합니다. 수백 개에서 수천 개의 선종이 대장에 발생하여 설사` 복통` 직장 출혈 등의 증상이 나타납니다. 유전성 비용종증 대장암의 경우` 대장암을 포함하여 각종 암에 걸릴 위험성이 많은 질환입니다. 다음으로` 환경적인 요인으로는 음식 섭취가 있습니다. 특히 과다한 동물성 지방 섭취 및 육류 소비(특히 붉은 고기) 등이 대장암의 발생을 촉진하는 인자로 작용합니다. 또한 비만 환자의 경우 인슐린 저항성이 높아지고 IGF-1이 증가하여 장점막을 자극하므로 대장암 발생의 위험성이 높습니다.  ,초기 대장암 환자들은 다른 고형암과 마찬가지로 대부분 별다른 자각 증세를 느끼지 못합니다. 진행암의 경우 70% 이상의 환자들이 증상을 느낍니다. 우측 대장암의 경우` 대장의 단면적이 넓고` 소화물이 머무는 시간이 좌측보다 상대적으로 짧으므로 소화 장애` 혈변(특히 검은색 변)` 복통을 느낍니다. 우측 대장암이 진행되면 전신 무기력` 만성 실혈에 의한 빈혈 증상인 어지러움` 빈맥` 숨이 차는 증상이 동반되기도 합니다. 이외에 체중이 감소하거나 우측 복벽에 암 덩어리가 만져지기도 합니다. 좌측 대장암의 경우` 대장이 비교적 가늘고 소화물이 잘 정체되어 배변과 관련된 증상이 빈번하게 나타납니다. 혈변(핏덩어리 또는 선혈이 섞인 변)` 배변 습관의 변화` 잔변감` 변 굵기 감소` 점액 변` 복통 등의 증상이 나타납니다. 이외에 체중이 감소할 수 있으며` 직장과 마주하고 있는 방광이 눌리면서 배뇨가 불편해지기도 합니다.  
고혈압,가정의학과`심장내과,고혈압은 혈압이 여러 원인으로 인해 높아진 상태를 의미합니다. 혈압은 동맥혈관 벽에 대항한 혈액의 압력을 말합니다. 혈액의 압력은 심장이 수축하여 동맥혈관으로 혈액을 보낼 때 가장 높은데` 이때의 혈압을 수축기 혈압이라고 합니다. 또한 심장이 늘어나서 혈액을 받아들일 때 가장 낮은데` 이때의 혈압을 이완기 혈압이라고 합니다. 우리나라 성인 인구의 약 30%가 이러한 혈압이 높아진 증상인 고혈압이 있는 것으로 추정됩니다.,고혈압은 교감 신경에 의한 신경성 요인 및 레닌-안지오텐신 기전에 의한 체액성 요인에 의해 발생합니다. 그러나 유전` 흡연` 남성` 노령화는 고혈압의 유발을 촉진하는 요인입니다. 고혈압의 90% 이상은 본태성으로 원인을 알 수 없는 경우가 대부분입니다. 나머지 5~10%는 원인이 명확한 이차성 고혈압에 해당합니다. 고혈압의 대부분을 차지하는 본태성 고혈압은 한 가지 원인에 의해 유발되지 않습니다. 여러 가지 요인이 모여서 고혈압을 일으키는데` 이 중에는 유전적인 요인(가족력)이 가장 흔하며` 그 외에 노화` 비만` 짜게 먹는 습관` 운동 부족` 스트레스 등이 있습니다.,고혈압은 뚜렷한 증상이 없어 신체검사나 진찰 중에 우연히 발견되는 경우가 적지 않습니다. 고혈압은 ‘소리 없는 죽음의 악마’라고 할 정도로 증상이 없는 경우가 대부분입니다. 간혹 증상이 있어서 병원을 찾는 경우는 두통이나 어지러움` 심계항진` 피로감 등의 혈압 상승에 의한 증상을 호소합니다. 코피나 혈뇨` 시력 저하` 뇌혈관 장애 증상` 협심증 등 고혈압성 혈관 질환에 의한 증상을 호소하기도 합니다. 이차성 고혈압의 경우 종종 원인 질환의 증상을 호소합니다.
골반염,산부인과,골반 염증성 질환은 질과 자궁 경관을 통해 세균이 침입하여 자궁 및 난관` 난소` 복강 내에 염증을 일으켜 발생하는 질환을 의미합니다.,골반 염증성 질환의 원인으로는 임질균` 클라미디아` 그람 음성 구균 등 세균의 감염이 있습니다. 이외에 산후 감염` 소파 수술 등이 있습니다.,일반적으로 골반통` 복통을 동반한 아랫배를 누르는 듯한 통증이 있으며` 치골 윗부분이 아픈 증상이 나타나기도 합니다. 질 분비물의 악취` 질 분비물 증가` 38도 이상의 고열이 동반되기도 합니다.
공황장애,정신건강의학과,공황 장애란 갑자기 극도의 두려움과 불안을 느끼는 불안 장애의 일종입니다.,현재까지의 연구 결과에 의하면` 공황 장애는 생물학적(신체적인) 원인` 외부적인 스트레스` 개인적인 인생 경험` 특히 유년기의 초기 경험과 이에 따른 인격의 발달이 함께 작용해서 발생하는 질환으로 생각됩니다. 유전적인 요인과 인지적인 요인도 영향을 주는 것으로 생각됩니다.,공황 장애(panic disorder)란 예기치 않은 공황 발작이 반복적으로 발생하며` 증상이 없을 때도 증상이 발현될까 미리 두려워하고` 이로 인해 일상생활에 악영향이 생기는 장애를 의미합니다.공황 발작(panic attack)이란 어떤 외부의 위협이 없음에도 불구하고 가슴 두근거림` 어지러움 등과 같은 다양한 신체 증상과 동반하여 심한 불안과 두려움을 느끼는 증상을 의미합니다. 공황 발작은 본래 외부의 위협에 반응하기 위한 뇌의 정상적인 작용입니다. 공황 장애 환자의 경우 위협이 없는 상황에서도 부적절하게 반응하여 발작이 생기는 것으로 추정됩니다. 이는 경보기가 잘못 작동하여 아무 때나 경보를 울려서 지장을 초래하는 것에 비유할 수 있습니다. 공황 발작은 대개 짧은 시간 지속되며` 10분 이내에 증상이 최고조에 도달합니다. 증상은 일반적으로 20분 내지 30분 이내에 소실되며 1시간을 넘는 경우는 드뭅니다. 그러나 발작이 한 번으로 끝나지 않고 수일 또는 수개월 뒤에 반복적으로 나타나는 경향이 있습니다. 공황 발작 시에는 다음과 같은 증상 중 일부가 갑작스럽게 발생합니다.• 두근거림` 심장이 마구 뛰거나 맥박이 빨라지는 느낌• 땀이 남• 손발이나 몸이 떨림• 숨이 가빠지거나 막힐 듯한 느낌• 질식할 것 같은 느낌• 가슴 부위의 통증이나 불쾌감• 메슥거리거나 속이 불편함• 어지럽고 휘청거리거나 혹은 실신할 것만 같은 느낌• 비현실감` 혹은 이인감(세상이 달라진 것 같은 이상한 느낌` 혹은 자신이 달라진 듯한 느낌)• 자제력을 잃거나 미쳐 버릴 것만 같아서 공포스러움• 죽음에 대한 공포• 이상한 감각(손발이 저릿저릿하거나 마비되는 것 같은 느낌)• 오한이나 몸이 화끈거리는 느낌 심한 공포감이나 불쾌감과 함께 위의 13가지 증상 중 4가지 이상이 발생할 때 공황 발작이라고 정의할 수 있습니다.
